channel_index,graspnet_ref,ln_affine,ln_affine_adapter,ln_adapter
42,0.022910721600055695,0.03275333717465401,0.01236744411289692,0.01236744411289692
43,0.10688934475183487,0.03706733137369156,0.01947787217795849,0.01947787217795849
44,0.1876544952392578,0.01975901983678341,0.0043648905120790005,0.0043648905120790005
45,0.4195200800895691,0.02955225110054016,0.008493022061884403,0.008493022061884403
46,0.027358602732419968,0.04614859074354172,0.022847171872854233,0.022847171872854233
47,0.28362590074539185,0.03622312471270561,0.007345505058765411,0.007345505058765411
48,0.0011842624517157674,0.08424675464630127,0.009711211547255516,0.009711211547255516
49,0.13563403487205505,0.019358327612280846,0.005503194872289896,0.005503194872289896
50,0.08746003359556198,0.047726016491651535,0.01983931101858616,0.01983931101858616
51,0.014727517031133175,0.04678138718008995,0.0052130576223134995,0.0052130576223134995
52,0.3232883810997009,0.017565272748470306,0.009366784244775772,0.009366784244775772
53,0.1590329110622406,0.060696881264448166,0.02894609235227108,0.02894609235227108
54,0.024289999157190323,0.05344455689191818,0.017175298184156418,0.017175298184156418
55,0.10316494852304459,0.0433332696557045,0.01501893624663353,0.01501893624663353
56,0.02711576782166958,0.06729473173618317,0.008497372269630432,0.008497372269630432
57,0.3864080309867859,0.07914320379495621,0.010701869614422321,0.010701869614422321
58,0.27469173073768616,0.03478453308343887,0.025501251220703125,0.025501251220703125
59,0.1643095463514328,0.03338535130023956,0.01032381970435381,0.01032381970435381
60,0.03671470284461975,0.04786515608429909,0.005653899163007736,0.005653899163007736
61,0.17421241104602814,0.0348183698952198,0.014209259301424026,0.014209259301424026
62,0.1827722042798996,0.020158207044005394,0.009893910959362984,0.009893910959362984
63,0.0,0.07177498191595078,0.00828640628606081,0.00828640628606081
64,0.09811896085739136,0.03028019890189171,0.005036742892116308,0.005036742892116308
65,0.038338929414749146,0.06486060470342636,0.00848343688994646,0.00848343688994646
66,0.1822969764471054,0.03393607586622238,0.01971505396068096,0.01971505396068096
67,0.01709849387407303,0.02663104422390461,0.0175827294588089,0.0175827294588089
68,0.031936343759298325,0.023179862648248672,0.006494631990790367,0.006494631990790367
69,0.08762294054031372,0.018191387876868248,0.02110685221850872,0.02110685221850872
70,0.10321498662233353,0.08063472807407379,0.014902645722031593,0.014902645722031593
